# Captura DAQ - 20260219_112925
# Fs=1000 Hz, Duracion=10 s, Dispositivo=Dev3/ai0
# Tiempo[s]	Amplitud[V]
0.000000	-0.378429
0.001000	-0.375212
0.002000	-0.373925
0.003000	-0.373604
0.004000	-0.371673
0.005000	-0.371030
0.006000	-0.372639
0.007000	-0.373282
0.008000	-0.373925
0.009000	-0.376177
0.010000	-0.377143
0.011000	-0.379716
0.012000	-0.379716
0.013000	-0.380681
0.014000	-0.380038
0.015000	-0.378429
0.016000	-0.377464
0.017000	-0.375856
0.018000	-0.372639
0.019000	-0.372639
0.020000	-0.371352
0.021000	-0.371030
0.022000	-0.371352
0.023000	-0.372317
0.024000	-0.373282
0.025000	-0.374569
0.026000	-0.376821
0.027000	-0.378108
0.028000	-0.379394
0.029000	-0.379394
0.030000	-0.380360
0.031000	-0.379073
0.032000	-0.378108
0.033000	-0.376821
0.034000	-0.375212
0.035000	-0.373282
0.036000	-0.371673
0.037000	-0.371030
0.038000	-0.370387
0.039000	-0.371352
0.040000	-0.371995
0.041000	-0.373282
0.042000	-0.375212
0.043000	-0.376177
0.044000	-0.377786
0.045000	-0.379073
0.046000	-0.379716
0.047000	-0.379394
0.048000	-0.378108
0.049000	-0.377143
0.050000	-0.374891
0.051000	-0.373282
0.052000	-0.371352
0.053000	-0.370387
0.054000	-0.369422
0.055000	-0.369422
0.056000	-0.369743
0.057000	-0.369743
0.058000	-0.371673
0.059000	-0.373604
0.060000	-0.375856
0.061000	-0.376821
0.062000	-0.376821
0.063000	-0.376177
0.064000	-0.375856
0.065000	-0.374569
0.066000	-0.373282
0.067000	-0.370708
0.068000	-0.369422
0.069000	-0.367170
0.070000	-0.365883
0.071000	-0.364274
0.072000	-0.363631
0.073000	-0.364274
0.074000	-0.364918
0.075000	-0.365883
0.076000	-0.365239
0.077000	-0.367170
0.078000	-0.366848
0.079000	-0.367170
0.080000	-0.367491
0.081000	-0.365239
0.082000	-0.363631
0.083000	-0.359449
0.084000	-0.356553
0.085000	-0.353014
0.086000	-0.349797
0.087000	-0.347867
0.088000	-0.345615
0.089000	-0.343685
0.090000	-0.342398
0.091000	-0.342720
0.092000	-0.341755
0.093000	-0.341755
0.094000	-0.340146
0.095000	-0.339825
0.096000	-0.336286
0.097000	-0.333712
0.098000	-0.329530
0.099000	-0.325348
0.100000	-0.320844
0.101000	-0.316340
0.102000	-0.312801
0.103000	-0.307332
0.104000	-0.304115
0.105000	-0.301863
0.106000	-0.297037
0.107000	-0.295429
0.108000	-0.294142
0.109000	-0.292534
0.110000	-0.290925
0.111000	-0.289316
0.112000	-0.288995
0.113000	-0.285456
0.114000	-0.281917
0.115000	-0.277413
0.116000	-0.272909
0.117000	-0.268727
0.118000	-0.264867
0.119000	-0.260041
0.120000	-0.256824
0.121000	-0.254894
0.122000	-0.254250
0.123000	-0.252964
0.124000	-0.251998
0.125000	-0.251677
0.126000	-0.252642
0.127000	-0.253929
0.128000	-0.253285
0.129000	-0.253607
0.130000	-0.253285
0.131000	-0.252964
0.132000	-0.251677
0.133000	-0.250712
0.134000	-0.251355
0.135000	-0.249425
0.136000	-0.250068
0.137000	-0.250712
0.138000	-0.251355
0.139000	-0.254250
0.140000	-0.256181
0.141000	-0.259719
0.142000	-0.264545
0.143000	-0.269049
0.144000	-0.271944
0.145000	-0.276127
0.146000	-0.279665
0.147000	-0.282561
0.148000	-0.285456
0.149000	-0.287065
0.150000	-0.288673
0.151000	-0.289638
0.152000	-0.291568
0.153000	-0.293177
0.154000	-0.296716
0.155000	-0.299611
0.156000	-0.303472
0.157000	-0.307654
0.158000	-0.312158
0.159000	-0.316340
0.160000	-0.321487
0.161000	-0.325669
0.162000	-0.328886
0.163000	-0.331460
0.164000	-0.334355
0.165000	-0.337251
0.166000	-0.338538
0.167000	-0.339825
0.168000	-0.339825
0.169000	-0.340468
0.170000	-0.342398
0.171000	-0.343042
0.172000	-0.345294
0.173000	-0.348511
0.174000	-0.351406
0.175000	-0.354301
0.176000	-0.357840
0.177000	-0.360092
0.178000	-0.362987
0.179000	-0.365883
0.180000	-0.367170
0.181000	-0.367170
0.182000	-0.366204
0.183000	-0.366204
0.184000	-0.364918
0.185000	-0.363953
0.186000	-0.364274
0.187000	-0.363631
0.188000	-0.363953
0.189000	-0.365239
0.190000	-0.366204
0.191000	-0.367170
0.192000	-0.370065
0.193000	-0.372317
0.194000	-0.373604
0.195000	-0.375856
0.196000	-0.376177
0.197000	-0.375534
0.198000	-0.376177
0.199000	-0.374569
0.200000	-0.373925
0.201000	-0.371030
0.202000	-0.370708
0.203000	-0.368778
0.204000	-0.369422
0.205000	-0.369100
0.206000	-0.369743
0.207000	-0.370065
0.208000	-0.373282
0.209000	-0.373925
0.210000	-0.376177
0.211000	-0.376499
0.212000	-0.377786
0.213000	-0.377786
0.214000	-0.378429
0.215000	-0.377464
0.216000	-0.376177
0.217000	-0.373604
0.218000	-0.371673
0.219000	-0.371352
0.220000	-0.369100
0.221000	-0.368778
0.222000	-0.368456
0.223000	-0.369100
0.224000	-0.371352
0.225000	-0.372317
0.226000	-0.374247
0.227000	-0.375534
0.228000	-0.376821
0.229000	-0.377143
0.230000	-0.376499
0.231000	-0.376821
0.232000	-0.375212
0.233000	-0.373604
0.234000	-0.371995
0.235000	-0.371995
0.236000	-0.368135
0.237000	-0.369100
0.238000	-0.368456
0.239000	-0.368778
0.240000	-0.368456
0.241000	-0.370708
0.242000	-0.371995
0.243000	-0.374891
0.244000	-0.375212
0.245000	-0.376499
0.246000	-0.377786
0.247000	-0.377143
0.248000	-0.377143
0.249000	-0.374891
0.250000	-0.372317
0.251000	-0.372639
0.252000	-0.370065
0.253000	-0.370387
0.254000	-0.368778
0.255000	-0.368135
0.256000	-0.369100
0.257000	-0.370387
0.258000	-0.372317
0.259000	-0.374569
0.260000	-0.373925
0.261000	-0.376499
0.262000	-0.377143
0.263000	-0.376821
0.264000	-0.376499
0.265000	-0.375534
0.266000	-0.373604
0.267000	-0.372317
0.268000	-0.370387
0.269000	-0.369422
0.270000	-0.368135
0.271000	-0.367491
0.272000	-0.367813
0.273000	-0.368778
0.274000	-0.368135
0.275000	-0.371352
0.276000	-0.372317
0.277000	-0.374569
0.278000	-0.375212
0.279000	-0.375212
0.280000	-0.376177
0.281000	-0.375534
0.282000	-0.374569
0.283000	-0.371352
0.284000	-0.371030
0.285000	-0.369100
0.286000	-0.367813
0.287000	-0.366204
0.288000	-0.366204
0.289000	-0.366848
0.290000	-0.367170
0.291000	-0.368135
0.292000	-0.371352
0.293000	-0.372960
0.294000	-0.373925
0.295000	-0.374891
0.296000	-0.376499
0.297000	-0.375212
0.298000	-0.374569
0.299000	-0.373282
0.300000	-0.370708
0.301000	-0.369422
0.302000	-0.368456
0.303000	-0.365883
0.304000	-0.365883
0.305000	-0.365883
0.306000	-0.366526
0.307000	-0.367170
0.308000	-0.368778
0.309000	-0.371030
0.310000	-0.372960
0.311000	-0.372960
0.312000	-0.373925
0.313000	-0.374569
0.314000	-0.374569
0.315000	-0.373604
0.316000	-0.371352
0.317000	-0.369422
0.318000	-0.368456
0.319000	-0.367170
0.320000	-0.366204
0.321000	-0.365561
0.322000	-0.364918
0.323000	-0.366204
0.324000	-0.366526
0.325000	-0.369422
0.326000	-0.370065
0.327000	-0.371995
0.328000	-0.373604
0.329000	-0.373604
0.330000	-0.374247
0.331000	-0.374569
0.332000	-0.372639
0.333000	-0.370708
0.334000	-0.368456
0.335000	-0.367170
0.336000	-0.365883
0.337000	-0.365561
0.338000	-0.363953
0.339000	-0.364596
0.340000	-0.365561
0.341000	-0.366848
0.342000	-0.369100
0.343000	-0.371030
0.344000	-0.371995
0.345000	-0.372639
0.346000	-0.373925
0.347000	-0.373604
0.348000	-0.371995
0.349000	-0.371352
0.350000	-0.370387
0.351000	-0.368456
0.352000	-0.366526
0.353000	-0.364274
0.354000	-0.363953
0.355000	-0.364596
0.356000	-0.363953
0.357000	-0.366526
0.358000	-0.367170
0.359000	-0.368778
0.360000	-0.369743
0.361000	-0.371995
0.362000	-0.372317
0.363000	-0.371673
0.364000	-0.371352
0.365000	-0.371030
0.366000	-0.369422
0.367000	-0.368778
0.368000	-0.367170
0.369000	-0.364918
0.370000	-0.364596
0.371000	-0.363631
0.372000	-0.363631
0.373000	-0.364274
0.374000	-0.365883
0.375000	-0.366848
0.376000	-0.368456
0.377000	-0.370065
0.378000	-0.371352
0.379000	-0.371673
0.380000	-0.371673
0.381000	-0.371673
0.382000	-0.369743
0.383000	-0.369422
0.384000	-0.366204
0.385000	-0.364596
0.386000	-0.363631
0.387000	-0.364274
0.388000	-0.363309
0.389000	-0.363953
0.390000	-0.364274
0.391000	-0.364918
0.392000	-0.366848
0.393000	-0.368778
0.394000	-0.371030
0.395000	-0.371995
0.396000	-0.371030
0.397000	-0.370708
0.398000	-0.370387
0.399000	-0.368778
0.400000	-0.367491
0.401000	-0.366526
0.402000	-0.363953
0.403000	-0.362666
0.404000	-0.362666
0.405000	-0.362344
0.406000	-0.362987
0.407000	-0.364274
0.408000	-0.365561
0.409000	-0.368456
0.410000	-0.367491
0.411000	-0.368456
0.412000	-0.370708
0.413000	-0.371995
0.414000	-0.371352
0.415000	-0.370065
0.416000	-0.367491
0.417000	-0.365883
0.418000	-0.364918
0.419000	-0.362666
0.420000	-0.361701
0.421000	-0.362022
0.422000	-0.362022
0.423000	-0.362344
0.424000	-0.364274
0.425000	-0.366204
0.426000	-0.367491
0.427000	-0.368456
0.428000	-0.370065
0.429000	-0.369743
0.430000	-0.371030
0.431000	-0.370065
0.432000	-0.368456
0.433000	-0.367170
0.434000	-0.365883
0.435000	-0.365561
0.436000	-0.362666
0.437000	-0.361379
0.438000	-0.362022
0.439000	-0.361057
0.440000	-0.361701
0.441000	-0.364274
0.442000	-0.365561
0.443000	-0.367170
0.444000	-0.369100
0.445000	-0.369422
0.446000	-0.370708
0.447000	-0.369100
0.448000	-0.368456
0.449000	-0.367813
0.450000	-0.366526
0.451000	-0.363953
0.452000	-0.362987
0.453000	-0.361379
0.454000	-0.360414
0.455000	-0.360735
0.456000	-0.361701
0.457000	-0.362666
0.458000	-0.362987
0.459000	-0.364918
0.460000	-0.365561
0.461000	-0.369100
0.462000	-0.369100
0.463000	-0.370065
0.464000	-0.368778
0.465000	-0.368456
0.466000	-0.366526
0.467000	-0.364918
0.468000	-0.362666
0.469000	-0.361701
0.470000	-0.360735
0.471000	-0.359770
0.472000	-0.360735
0.473000	-0.361701
0.474000	-0.362344
0.475000	-0.362666
0.476000	-0.365239
0.477000	-0.366204
0.478000	-0.368135
0.479000	-0.369100
0.480000	-0.369100
0.481000	-0.368778
0.482000	-0.366204
0.483000	-0.366204
0.484000	-0.363953
0.485000	-0.361701
0.486000	-0.360414
0.487000	-0.359449
0.488000	-0.359770
0.489000	-0.359127
0.490000	-0.360735
0.491000	-0.362022
0.492000	-0.363631
0.493000	-0.364274
0.494000	-0.368135
0.495000	-0.366526
0.496000	-0.368456
0.497000	-0.368456
0.498000	-0.368456
0.499000	-0.366526
0.500000	-0.364596
0.501000	-0.362987
0.502000	-0.361379
0.503000	-0.360735
0.504000	-0.359770
0.505000	-0.359127
0.506000	-0.360092
0.507000	-0.361057
0.508000	-0.362344
0.509000	-0.363631
0.510000	-0.364274
0.511000	-0.365883
0.512000	-0.366848
0.513000	-0.367170
0.514000	-0.366848
0.515000	-0.366204
0.516000	-0.364274
0.517000	-0.362666
0.518000	-0.361379
0.519000	-0.360735
0.520000	-0.359127
0.521000	-0.357840
0.522000	-0.357518
0.523000	-0.358162
0.524000	-0.360735
0.525000	-0.361057
0.526000	-0.363631
0.527000	-0.364918
0.528000	-0.366204
0.529000	-0.366848
0.530000	-0.366526
0.531000	-0.364918
0.532000	-0.364596
0.533000	-0.363631
0.534000	-0.362344
0.535000	-0.359770
0.536000	-0.358805
0.537000	-0.358162
0.538000	-0.357197
0.539000	-0.357197
0.540000	-0.359449
0.541000	-0.360735
0.542000	-0.362344
0.543000	-0.363953
0.544000	-0.365239
0.545000	-0.365561
0.546000	-0.365561
0.547000	-0.366848
0.548000	-0.366204
0.549000	-0.363953
0.550000	-0.362344
0.551000	-0.360735
0.552000	-0.358162
0.553000	-0.358805
0.554000	-0.357840
0.555000	-0.356875
0.556000	-0.358484
0.557000	-0.359127
0.558000	-0.361701
0.559000	-0.362022
0.560000	-0.364596
0.561000	-0.365883
0.562000	-0.365561
0.563000	-0.366848
0.564000	-0.365883
0.565000	-0.365883
0.566000	-0.363631
0.567000	-0.362666
0.568000	-0.359770
0.569000	-0.358484
0.570000	-0.357518
0.571000	-0.357518
0.572000	-0.356875
0.573000	-0.358162
0.574000	-0.359449
0.575000	-0.360092
0.576000	-0.361701
0.577000	-0.363631
0.578000	-0.363953
0.579000	-0.366526
0.580000	-0.364918
0.581000	-0.364918
0.582000	-0.363953
0.583000	-0.361379
0.584000	-0.361057
0.585000	-0.359127
0.586000	-0.357197
0.587000	-0.354945
0.588000	-0.354945
0.589000	-0.355910
0.590000	-0.356232
0.591000	-0.358805
0.592000	-0.360414
0.593000	-0.361057
0.594000	-0.362666
0.595000	-0.363953
0.596000	-0.364918
0.597000	-0.365561
0.598000	-0.363631
0.599000	-0.362987
0.600000	-0.361379
0.601000	-0.359770
0.602000	-0.357197
0.603000	-0.355588
0.604000	-0.356232
0.605000	-0.355588
0.606000	-0.356232
0.607000	-0.357197
0.608000	-0.358805
0.609000	-0.360092
0.610000	-0.362022
0.611000	-0.362666
0.612000	-0.363953
0.613000	-0.364596
0.614000	-0.364274
0.615000	-0.362987
0.616000	-0.362344
0.617000	-0.359449
0.618000	-0.358162
0.619000	-0.357518
0.620000	-0.354623
0.621000	-0.355266
0.622000	-0.354623
0.623000	-0.356875
0.624000	-0.357840
0.625000	-0.359127
0.626000	-0.360414
0.627000	-0.361379
0.628000	-0.363309
0.629000	-0.364274
0.630000	-0.363631
0.631000	-0.363309
0.632000	-0.361701
0.633000	-0.361701
0.634000	-0.358484
0.635000	-0.358484
0.636000	-0.355910
0.637000	-0.353980
0.638000	-0.354301
0.639000	-0.354623
0.640000	-0.355910
0.641000	-0.356553
0.642000	-0.358484
0.643000	-0.359449
0.644000	-0.361057
0.645000	-0.362022
0.646000	-0.362987
0.647000	-0.362666
0.648000	-0.362022
0.649000	-0.360735
0.650000	-0.358484
0.651000	-0.356875
0.652000	-0.355266
0.653000	-0.353658
0.654000	-0.353336
0.655000	-0.353336
0.656000	-0.353658
0.657000	-0.353980
0.658000	-0.354945
0.659000	-0.357197
0.660000	-0.357840
0.661000	-0.360092
0.662000	-0.360414
0.663000	-0.361057
0.664000	-0.360092
0.665000	-0.358805
0.666000	-0.357518
0.667000	-0.355266
0.668000	-0.353980
0.669000	-0.351728
0.670000	-0.349154
0.671000	-0.349476
0.672000	-0.346902
0.673000	-0.347545
0.674000	-0.348832
0.675000	-0.349154
0.676000	-0.351406
0.677000	-0.350763
0.678000	-0.350119
0.679000	-0.349154
0.680000	-0.348189
0.681000	-0.346902
0.682000	-0.344328
0.683000	-0.340790
0.684000	-0.337573
0.685000	-0.333712
0.686000	-0.330173
0.687000	-0.326635
0.688000	-0.325348
0.689000	-0.323417
0.690000	-0.321487
0.691000	-0.319235
0.692000	-0.317948
0.693000	-0.317627
0.694000	-0.315375
0.695000	-0.312479
0.696000	-0.310871
0.697000	-0.307010
0.698000	-0.303472
0.699000	-0.300255
0.700000	-0.294142
0.701000	-0.289960
0.702000	-0.284169
0.703000	-0.279987
0.704000	-0.276127
0.705000	-0.273875
0.706000	-0.271301
0.707000	-0.268084
0.708000	-0.266797
0.709000	-0.265832
0.710000	-0.264867
0.711000	-0.264867
0.712000	-0.263902
0.713000	-0.261971
0.714000	-0.261650
0.715000	-0.259398
0.716000	-0.257467
0.717000	-0.253607
0.718000	-0.252964
0.719000	-0.251355
0.720000	-0.250712
0.721000	-0.251677
0.722000	-0.250068
0.723000	-0.253607
0.724000	-0.256181
0.725000	-0.259398
0.726000	-0.262293
0.727000	-0.266475
0.728000	-0.269371
0.729000	-0.273231
0.730000	-0.275161
0.731000	-0.278700
0.732000	-0.279987
0.733000	-0.281274
0.734000	-0.282882
0.735000	-0.284813
0.736000	-0.286743
0.737000	-0.288995
0.738000	-0.293177
0.739000	-0.295751
0.740000	-0.299933
0.741000	-0.304758
0.742000	-0.309584
0.743000	-0.314088
0.744000	-0.318270
0.745000	-0.322452
0.746000	-0.325348
0.747000	-0.329208
0.748000	-0.330817
0.749000	-0.332425
0.750000	-0.332104
0.751000	-0.333069
0.752000	-0.333069
0.753000	-0.333712
0.754000	-0.335321
0.755000	-0.337573
0.756000	-0.339181
0.757000	-0.341755
0.758000	-0.344328
0.759000	-0.347545
0.760000	-0.350441
0.761000	-0.352693
0.762000	-0.354623
0.763000	-0.354945
0.764000	-0.356553
0.765000	-0.356553
0.766000	-0.355588
0.767000	-0.354301
0.768000	-0.352371
0.769000	-0.352049
0.770000	-0.351406
0.771000	-0.352371
0.772000	-0.351728
0.773000	-0.352049
0.774000	-0.353658
0.775000	-0.355910
0.776000	-0.357840
0.777000	-0.358805
0.778000	-0.359770
0.779000	-0.362022
0.780000	-0.362344
0.781000	-0.360735
0.782000	-0.360092
0.783000	-0.358484
0.784000	-0.356875
0.785000	-0.355588
0.786000	-0.353658
0.787000	-0.353980
0.788000	-0.353014
0.789000	-0.353336
0.790000	-0.355588
0.791000	-0.356232
0.792000	-0.359127
0.793000	-0.360735
0.794000	-0.361701
0.795000	-0.362987
0.796000	-0.364274
0.797000	-0.364596
0.798000	-0.364274
0.799000	-0.364274
0.800000	-0.364274
0.801000	-0.363309
0.802000	-0.362344
0.803000	-0.362344
0.804000	-0.362344
0.805000	-0.363631
0.806000	-0.365561
0.807000	-0.369422
0.808000	-0.372960
0.809000	-0.377464
0.810000	-0.381968
0.811000	-0.387115
0.812000	-0.390654
0.813000	-0.394836
0.814000	-0.397732
0.815000	-0.400949
0.816000	-0.405774
0.817000	-0.408992
0.818000	-0.413174
0.819000	-0.417356
0.820000	-0.422503
0.821000	-0.427972
0.822000	-0.434406
0.823000	-0.442771
0.824000	-0.450170
0.825000	-0.459500
0.826000	-0.467864
0.827000	-0.477515
0.828000	-0.484914
0.829000	-0.492635
0.830000	-0.498426
0.831000	-0.504860
0.832000	-0.509364
0.833000	-0.512903
0.834000	-0.515798
0.835000	-0.519015
0.836000	-0.521267
0.837000	-0.521267
0.838000	-0.522232
0.839000	-0.522876
0.840000	-0.522232
0.841000	-0.521267
0.842000	-0.518694
0.843000	-0.514833
0.844000	-0.509364
0.845000	-0.501643
0.846000	-0.491027
0.847000	-0.477515
0.848000	-0.461751
0.849000	-0.443736
0.850000	-0.421860
0.851000	-0.398053
0.852000	-0.371995
0.853000	-0.344972
0.854000	-0.314731
0.855000	-0.283526
0.856000	-0.250712
0.857000	-0.215646
0.858000	-0.180258
0.859000	-0.141975
0.860000	-0.101761
0.861000	-0.058974
0.862000	-0.014900
0.863000	0.032391
0.864000	0.080647
0.865000	0.129868
0.866000	0.182306
0.867000	0.235066
0.868000	0.288791
0.869000	0.342838
0.870000	0.395920
0.871000	0.446749
0.872000	0.494684
0.873000	0.540688
0.874000	0.582510
0.875000	0.621758
0.876000	0.657467
0.877000	0.689316
0.878000	0.718270
0.879000	0.743685
0.880000	0.764596
0.881000	0.782290
